,电影,评分,链接,类型,地区,上映地点,时长(min),上映时间
240,转型团伙,0.0,http://maoyan.com/films/1162868,"剧情,喜剧,动作",中国大陆,大陆上映,90.0,2018.0
242,我的爸爸是森林之王,9.1,http://maoyan.com/films/880690,"喜剧,动画",法国,大陆上映,92.0,2017.0
243,表情奇幻冒险,0.0,http://maoyan.com/films/341601,"喜剧,动画,冒险",美国,大陆上映,86.0,2018.0
244,喜欢·你,8.9,http://maoyan.com/films/672175,"喜剧,爱情",中国大陆,大陆上映,107.0,2017.0
246,鲛珠传,7.9,http://maoyan.com/films/245938,"喜剧,动作,奇幻",中国大陆,大陆上映,108.0,2017.0
247,推理笔记,7.5,http://maoyan.com/films/1190680,"剧情,悬疑",中国大陆,大陆上映,90.0,2017.0
248,非常父子档,8.5,http://maoyan.com/films/248867,"喜剧,爱情,家庭","中国大陆,韩国",大陆上映,100.0,2016.0
249,玛亚历险记,0.0,http://maoyan.com/films/334598,"喜剧,动画,冒险,家庭","澳大利亚,德国",大陆上映,86.0,2018.0
250,女巫斗恶龙,0.0,http://maoyan.com/films/337727,"冒险,奇幻","丹麦,挪威,捷克,冰岛",大陆上映,97.0,2017.0
251,垫底联盟,7.4,http://maoyan.com/films/1199242,"剧情,喜剧,运动",中国大陆,大陆上映,98.0,2017.0
252,京城81号II,5.8,http://maoyan.com/films/344236,"剧情,惊悚,悬疑",中国大陆,:00大陆上映,93.0,2017.0
254,乘风破浪,8.7,http://maoyan.com/films/1170255,"剧情,喜剧,冒险",中国大陆,大陆上映,102.0,2017.0
256,痞子猫,0.0,http://maoyan.com/films/346410,"喜剧,动画,动作",土耳其,大陆上映,90.0,2018.0
257,热血时代,0.0,http://maoyan.com/films/343622,"剧情,爱情",中国大陆,大陆上映,97.0,2017.0
259,芒刺,0.0,http://maoyan.com/films/1212519,剧情,中国大陆,大陆上映,90.0,2018.0
260,追踪,0.0,http://maoyan.com/films/346302,"爱情,犯罪",中国大陆,大陆上映,114.0,2018.0
261,七月与安生,8.7,http://maoyan.com/films/341120,"剧情,爱情",中国大陆,大陆上映,110.0,2016.0
262,傲娇与偏见,9.0,http://maoyan.com/films/343669,"喜剧,爱情",中国大陆,大陆上映,108.0,2017.0
263,罗密欧与朱丽叶,0.0,http://maoyan.com/films/1212508,"剧情,爱情,舞台艺术",英国,:30大陆上映,140.0,2017.0
264,老炮儿,9.1,http://maoyan.com/films/246211,"剧情,动作",中国大陆,大陆上映,137.0,2015.0
265,悟空圣诞奇遇记,0.0,http://maoyan.com/films/672379,"喜剧,动画",中国大陆,大陆上映,90.0,2018.0
266,逆时营救,7.9,http://maoyan.com/films/342364,"动作,科幻",中国大陆,大陆上映,106.0,2017.0
267,我想吃掉你的胰脏,0.0,http://maoyan.com/films/1187437,"剧情,爱情",日本,日本上映,115.0,2017.0
268,十万个冷笑话2,8.7,http://maoyan.com/films/346308,"喜剧,动画,奇幻",中国大陆,大陆上映,101.0,2017.0
269,六年，六天,8.0,http://maoyan.com/films/1209176,"剧情,爱情",中国大陆,大陆上映,96.0,2017.0
271,情圣,8.6,http://maoyan.com/films/1188324,"喜剧,爱情",中国大陆,大陆上映,113.0,2016.0
272,刀剑神域：序列之争,9.2,http://maoyan.com/films/358750,"动画,动作,冒险",日本,大陆上映,122.0,2017.0
273,疯狂原始人,9.5,http://maoyan.com/films/78099,"喜剧,动画,冒险",美国,大陆上映,98.0,2013.0
274,功夫瑜伽,8.4,http://maoyan.com/films/248933,"喜剧,动作,冒险","中国大陆,印度",大陆上映,108.0,2017.0
275,摆渡人,7.8,http://maoyan.com/films/246388,"喜剧,爱情","中国大陆,中国香港",大陆上映,128.0,2016.0
277,寄生兽,8.4,http://maoyan.com/films/245997,"恐怖,惊悚,科幻",日本,大陆上映,125.0,2016.0
278,星球大战外传：侠盗一号,8.0,http://maoyan.com/films/247185,"动作,冒险,科幻",美国,大陆上映,134.0,2017.0
280,不倒侠,8.4,http://maoyan.com/films/246014,"爱情,科幻",中国台湾,大陆上映,90.0,2017.0
281,大闹天竺,7.4,http://maoyan.com/films/248935,"喜剧,动作,冒险",中国大陆,大陆上映,100.0,2017.0
282,生死语者·秦明,0.0,http://maoyan.com/films/1207185,悬疑,中国大陆,大陆上映,100.0,2018.0
284,中国药神,0.0,http://maoyan.com/films/1200486,剧情,中国大陆,大陆上映,96.0,2018.0
285,赛车总动员3：极速挑战,8.8,http://maoyan.com/films/342067,"喜剧,动画,冒险",美国,大陆上映,102.0,2017.0
286,家园,0.0,http://maoyan.com/films/1212485,喜剧,中国大陆,大陆上映,114.0,2017.0
